T[ms];I[A];U[V];P[W];całka
278;37,01;3,268;120,9487;120,9487
279;37,01;3,268;120,9487;120,2951
280;36,61;3,268;119,6415;119,6415
281;36,61;3,268;119,6415;121,7385
282;37,01;3,346;123,8355;122,3921
283;37,01;3,268;120,9487;120,9487
284;37,01;3,268;120,9487;120,2085
285;37,01;3,228;119,4683;118,8227
286;36,61;3,228;118,1771;118,9093
287;36,61;3,268;119,6415;120,2951
288;37,01;3,268;120,9487;120,9487
289;37,01;3,268;120,9487;120,2951
290;36,61;3,268;119,6415;121,8015
291;36,61;3,386;123,9615;121,8015
292;36,61;3,268;119,6415;118,8332
293;37,01;3,189;118,0249;118,7466
294;37,01;3,228;119,4683;120,2085
295;37,01;3,268;120,9487;118,849
296;36,61;3,189;116,7493;118,1954
297;36,61;3,268;119,6415;117,4815
298;36,61;3,15;115,3215;118,1351
299;37,01;3,268;120,9487;120,2951
300;36,61;3,268;119,6415;116,7493
301;36,61;3,11;113,8571;116,7493
302;36,61;3,268;119,6415;120,2951
303;37,01;3,268;120,9487;120,2085
304;37,01;3,228;119,4683;120,2085
305;37,01;3,268;120,9487;120,2951
306;36,61;3,268;119,6415;119,6415
307;36,61;3,268;119,6415;120,2951
308;37,01;3,268;120,9487;120,2085
309;37,01;3,228;119,4683;119,5549
310;36,61;3,268;119,6415;119,6415
311;36,61;3,268;119,6415;119,6415
312;36,61;3,268;119,6415;118,9093
313;36,61;3,228;118,1771;118,8227
314;37,01;3,228;119,4683;120,2085
315;37,01;3,268;120,9487;120,2951
316;36,61;3,268;119,6415;120,2951
317;37,01;3,268;120,9487;120,9487
318;37,01;3,268;120,9487;119,5629
319;36,61;3,228;118,1771;119,5629
320;37,01;3,268;120,9487;118,849
321;36,61;3,189;116,7493;118,1954
322;36,61;3,268;119,6415;120,2951
323;37,01;3,268;120,9487;120,9487
324;37,01;3,268;120,9487;120,9487
325;37,01;3,268;120,9487;120,2951
326;36,61;3,268;119,6415;119,6415
327;36,61;3,268;119,6415;120,2951
328;37,01;3,268;120,9487;120,9487
329;37,01;3,268;120,9487;120,2951
330;36,61;3,268;119,6415;119,6415
331;36,61;3,268;119,6415;119,6415
332;36,61;3,268;119,6415;118,1954
333;36,61;3,189;116,7493;118,849
334;37,01;3,268;120,9487;120,9487
335;37,01;3,268;120,9487;120,2951
336;36,61;3,268;119,6415;119,6415
337;36,61;3,268;119,6415;119,5549
338;37,01;3,228;119,4683;119,4683
339;37,01;3,228;119,4683;120,2085
340;37,01;3,268;120,9487;120,2951
341;36,61;3,268;119,6415;119,6415
342;36,61;3,268;119,6415;117,3713
343;37,01;3,11;115,1011;117,2847
344;37,01;3,228;119,4683;120,2085
345;37,01;3,268;120,9487;120,2951
346;36,61;3,268;119,6415;119,6415
347;36,61;3,268;119,6415;119,5549
348;37,01;3,228;119,4683;120,2085
349;37,01;3,268;120,9487;120,9487
350;37,01;3,268;120,9487;120,2951
351;36,61;3,268;119,6415;119,6415
352;36,61;3,268;119,6415;119,6415
353;36,61;3,268;119,6415;118,9093
354;36,61;3,228;118,1771;118,9093
355;36,61;3,268;119,6415;119,6415
356;36,61;3,268;119,6415;119,6415
357;36,61;3,268;119,6415;120,2951
358;37,01;3,268;120,9487;119,4868
359;37,01;3,189;118,0249;118,8332
360;36,61;3,268;119,6415;119,6415
361;36,61;3,268;119,6415;120,2951
362;37,01;3,268;120,9487;120,2085
363;37,01;3,228;119,4683;120,2085
364;37,01;3,268;120,9487;120,2951
365;36,61;3,268;119,6415;119,6415
366;36,61;3,268;119,6415;119,6415
367;36,61;3,268;119,6415;119,6415
368;36,61;3,268;119,6415;120,2951
369;37,01;3,268;120,9487;120,2951
370;36,61;3,268;119,6415;119,6415
371;36,61;3,268;119,6415;119,6415
372;36,61;3,268;119,6415;119,6415
373;36,61;3,268;119,6415;120,2951
374;37,01;3,268;120,9487;120,2951
375;36,61;3,268;119,6415;119,6415
376;36,61;3,268;119,6415;119,6415
377;36,61;3,268;119,6415;119,6415
378;36,61;3,268;119,6415;119,6415
379;36,61;3,268;119,6415;119,6415
380;36,61;3,268;119,6415;120,3554
381;36,61;3,307;121,0693;120,3554
382;36,61;3,268;119,6415;120,2951
383;37,01;3,268;120,9487;120,9487
384;37,01;3,268;120,9487;120,2951
385;36,61;3,268;119,6415;119,6415
386;36,61;3,268;119,6415;120,3554
387;36,61;3,307;121,0693;120,3554
388;36,61;3,268;119,6415;119,5549
389;37,01;3,228;119,4683;120,2085
390;37,01;3,268;120,9487;120,2951
391;36,61;3,268;119,6415;119,6415
392;36,61;3,268;119,6415;119,6415
393;36,61;3,268;119,6415;120,2951
394;37,01;3,268;120,9487;120,9487
395;37,01;3,268;120,9487;120,2951
396;36,61;3,268;119,6415;119,6415
397;36,61;3,268;119,6415;119,6415
398;36,61;3,268;119,6415;119,6415
399;36,61;3,268;119,6415;120,2951
400;37,01;3,268;120,9487;120,2951
401;36,61;3,268;119,6415;120,3554
402;36,61;3,307;121,0693;120,3554
403;36,61;3,268;119,6415;120,2951
404;37,01;3,268;120,9487;120,2951
405;36,61;3,268;119,6415;119,6415
406;36,61;3,268;119,6415;121,0693
407;36,61;3,346;122,4971;121,0693
408;36,61;3,268;119,6415;119,6415
409;36,61;3,268;119,6415;119,6415
410;36,61;3,268;119,6415;119,6415
411;36,61;3,268;119,6415;119,6415
412;36,61;3,268;119,6415;119,6415
413;36,61;3,268;119,6415;118,1954
414;36,61;3,189;116,7493;118,849
415;37,01;3,268;120,9487;121,7229
416;36,61;3,346;122,4971;121,0693
417;36,61;3,268;119,6415;119,6415
418;36,61;3,268;119,6415;119,5549
419;37,01;3,228;119,4683;119,5549
420;36,61;3,268;119,6415;119,6415
421;36,61;3,268;119,6415;121,0693
422;36,61;3,346;122,4971;121,0693
423;36,61;3,268;119,6415;120,2951
424;37,01;3,268;120,9487;120,2951
425;36,61;3,268;119,6415;119,6415
426;36,61;3,268;119,6415;120,3554
427;36,61;3,307;121,0693;120,3554
428;36,61;3,268;119,6415;118,9093
429;36,61;3,228;118,1771;118,9093
430;36,61;3,268;119,6415;121,0693
431;36,61;3,346;122,4971;121,0693
432;36,61;3,268;119,6415;119,6415
433;36,61;3,268;119,6415;121,0693
434;36,61;3,346;122,4971;121,7229
435;37,01;3,268;120,9487;121,009
436;36,61;3,307;121,0693;121,7832
437;36,61;3,346;122,4971;121,0693
438;36,61;3,268;119,6415;120,2951
439;37,01;3,268;120,9487;120,2951
440;36,61;3,268;119,6415;120,3554
441;36,61;3,307;121,0693;121,7832
442;36,61;3,346;122,4971;121,0693
443;36,61;3,268;119,6415;120,2951
444;37,01;3,268;120,9487;120,9487
445;37,01;3,268;120,9487;121,009
446;36,61;3,307;121,0693;120,3554
447;36,61;3,268;119,6415;119,6415
448;36,61;3,268;119,6415;119,6415
449;36,61;3,268;119,6415;119,6415
450;36,61;3,268;119,6415;120,3554
451;36,61;3,307;121,0693;120,3554
452;36,61;3,268;119,6415;119,6415
453;36,61;3,268;119,6415;119,6415
454;36,61;3,268;119,6415;119,6415
455;36,61;3,268;119,6415;121,0693
456;36,61;3,346;122,4971;121,8446
457;36,22;3,346;121,1921;120,4168
458;36,61;3,268;119,6415;119,6415
459;36,61;3,268;119,6415;120,2951
460;37,01;3,268;120,9487;120,2951
461;36,61;3,268;119,6415;119,6415
462;36,61;3,268;119,6415;119,6415
463;36,61;3,268;119,6415;118,1954
464;36,61;3,189;116,7493;118,1954
465;36,61;3,268;119,6415;118,9093
466;36,61;3,228;118,1771;118,9093
467;36,61;3,268;119,6415;119,6415
468;36,61;3,268;119,6415;120,2951
469;37,01;3,268;120,9487;120,2951
470;36,61;3,268;119,6415;120,3554
471;36,61;3,307;121,0693;121,7832
472;36,61;3,346;122,4971;121,0693
473;36,61;3,268;119,6415;120,3554
474;36,61;3,307;121,0693;120,3554
475;36,61;3,268;119,6415;121,0693
476;36,61;3,346;122,4971;121,8446
477;36,22;3,346;121,1921;121,1307
478;36,61;3,307;121,0693;120,3554
479;36,61;3,268;119,6415;119,6415
480;36,61;3,268;119,6415;120,3554
481;36,61;3,307;121,0693;120,3554
482;36,61;3,268;119,6415;119,6415
483;36,61;3,268;119,6415;120,2951
484;37,01;3,268;120,9487;120,2951
485;36,61;3,268;119,6415;120,3554
486;36,61;3,307;121,0693;120,3554
487;36,61;3,268;119,6415;120,3554
488;36,61;3,307;121,0693;120,3554
489;36,61;3,268;119,6415;119,6415
490;36,61;3,268;119,6415;119,6415
491;36,61;3,268;119,6415;121,8015
492;36,61;3,386;123,9615;121,8015
493;36,61;3,268;119,6415;120,2951
494;37,01;3,268;120,9487;120,2951
495;36,61;3,268;119,6415;120,3554
496;36,61;3,307;121,0693;121,7832
497;36,61;3,346;122,4971;121,7832
498;36,61;3,307;121,0693;120,2688
499;37,01;3,228;119,4683;119,5549
500;36,61;3,268;119,6415;121,0693
501;36,61;3,346;122,4971;122,4971
502;36,61;3,346;122,4971;121,0693
503;36,61;3,268;119,6415;119,6415
504;36,61;3,268;119,6415;120,2951
505;37,01;3,268;120,9487;121,009
506;36,61;3,307;121,0693;120,3554
507;36,61;3,268;119,6415;119,6415
508;36,61;3,268;119,6415;120,2951
509;37,01;3,268;120,9487;120,9487
510;37,01;3,268;120,9487;120,2951
511;36,61;3,268;119,6415;121,8015
512;36,61;3,386;123,9615;121,8015
513;36,61;3,268;119,6415;119,6415
514;36,61;3,268;119,6415;120,2951
515;37,01;3,268;120,9487;121,009
516;36,61;3,307;121,0693;121,8551
517;36,22;3,386;122,6409;121,1412
518;36,61;3,268;119,6415;120,2951
519;37,01;3,268;120,9487;120,9487
520;37,01;3,268;120,9487;120,2951
521;36,61;3,268;119,6415;119,6415
522;36,61;3,268;119,6415;121,0693
523;36,61;3,346;122,4971;121,7229
524;37,01;3,268;120,9487;121,6704
525;37,01;3,307;122,3921;122,4446
526;36,61;3,346;122,4971;122,4971
527;36,61;3,346;122,4971;121,7832
528;36,61;3,307;121,0693;120,3554
529;36,61;3,268;119,6415;120,3554
530;36,61;3,307;121,0693;121,7832
531;36,61;3,346;122,4971;121,1383
532;36,22;3,307;119,7795;121,1383
533;36,61;3,346;122,4971;121,7229
534;37,01;3,268;120,9487;120,9487
535;37,01;3,268;120,9487;121,009
536;36,61;3,307;121,0693;121,7832
537;36,61;3,346;122,4971;121,7832
538;36,61;3,307;121,0693;120,3554
539;36,61;3,268;119,6415;120,2951
540;37,01;3,268;120,9487;121,009
541;36,61;3,307;121,0693;121,0693
542;36,61;3,307;121,0693;121,0693
543;36,61;3,307;121,0693;120,3554
544;36,61;3,268;119,6415;119,6415
545;36,61;3,268;119,6415;119,6415
546;36,61;3,268;119,6415;121,0693
547;36,61;3,346;122,4971;121,7832
548;36,61;3,307;121,0693;121,0693
549;36,61;3,307;121,0693;121,009
550;37,01;3,268;120,9487;121,009
551;36,61;3,307;121,0693;121,7832
552;36,61;3,346;122,4971;122,4971
553;36,61;3,346;122,4971;121,0693
554;36,61;3,268;119,6415;119,6415
555;36,61;3,268;119,6415;120,3554
556;36,61;3,307;121,0693;121,7832
557;36,61;3,346;122,4971;122,4971
558;36,61;3,346;122,4971;121,0693
559;36,61;3,268;119,6415;119,6415
560;36,61;3,268;119,6415;120,3554
561;36,61;3,307;121,0693;121,0693
562;36,61;3,307;121,0693;121,0693
563;36,61;3,307;121,0693;120,3554
564;36,61;3,268;119,6415;120,3554
565;36,61;3,307;121,0693;120,3554
566;36,61;3,268;119,6415;119,6415
567;36,61;3,268;119,6415;121,0693
568;36,61;3,346;122,4971;122,4971
569;36,61;3,346;122,4971;121,7229
570;37,01;3,268;120,9487;121,009
571;36,61;3,307;121,0693;121,7832
572;36,61;3,346;122,4971;121,8446
573;36,22;3,346;121,1921;120,4168
574;36,61;3,268;119,6415;121,0693
575;36,61;3,346;122,4971;122,4971
576;36,61;3,346;122,4971;122,4971
577;36,61;3,346;122,4971;122,4971
578;36,61;3,346;122,4971;122,4971
579;36,61;3,346;122,4971;122,4971
580;36,61;3,346;122,4971;121,7832
581;36,61;3,307;121,0693;121,7832
582;36,61;3,346;122,4971;122,4971
583;36,61;3,346;122,4971;121,7832
584;36,61;3,307;121,0693;120,3554
585;36,61;3,268;119,6415;121,0693
586;36,61;3,346;122,4971;122,4971
587;36,61;3,346;122,4971;120,432
588;36,22;3,268;118,367;119,0042
589;36,61;3,268;119,6415;119,6415
590;36,61;3,268;119,6415;120,3554
591;36,61;3,307;121,0693;121,7832
592;36,61;3,346;122,4971;121,7832
593;36,61;3,307;121,0693;121,7832
594;36,61;3,346;122,4971;123,1663
595;37,01;3,346;123,8355;122,4524
596;36,61;3,307;121,0693;121,7832
597;36,61;3,346;122,4971;122,4971
598;36,61;3,346;122,4971;121,7832
599;36,61;3,307;121,0693;120,3554
600;36,61;3,268;119,6415;121,0693
601;36,61;3,346;122,4971;122,4971
602;36,61;3,346;122,4971;121,8446
603;36,22;3,346;121,1921;121,8446
604;36,61;3,346;122,4971;121,0693
605;36,61;3,268;119,6415;120,3554
606;36,61;3,307;121,0693;121,7832
607;36,61;3,346;122,4971;122,4971
608;36,61;3,346;122,4971;121,7832
609;36,61;3,307;121,0693;121,009
610;37,01;3,268;120,9487;121,009
611;36,61;3,307;121,0693;121,0693
612;36,61;3,307;121,0693;120,3554
613;36,61;3,268;119,6415;120,3554
614;36,61;3,307;121,0693;121,0693
615;36,61;3,307;121,0693;120,3554
616;36,61;3,268;119,6415;121,0693
617;36,61;3,346;122,4971;122,4971
618;36,61;3,346;122,4971;121,7832
619;36,61;3,307;121,0693;121,0693
620;36,61;3,307;121,0693;120,3554
621;36,61;3,268;119,6415;121,0693
622;36,61;3,346;122,4971;122,4971
623;36,61;3,346;122,4971;122,4971
624;36,61;3,346;122,4971;121,7229
625;37,01;3,268;120,9487;121,7229
626;36,61;3,346;122,4971;123,2293
627;36,61;3,386;123,9615;123,2293
628;36,61;3,346;122,4971;122,4971
629;36,61;3,346;122,4971;122,4971
630;36,61;3,346;122,4971;121,7832
631;36,61;3,307;121,0693;121,7832
632;36,61;3,346;122,4971;123,9432
633;36,61;3,425;125,3892;123,2292
634;36,61;3,307;121,0693;120,3554
635;36,61;3,268;119,6415;121,0168
636;37,01;3,307;122,3921;122,4446
637;36,61;3,346;122,4971;122,4971
638;36,61;3,346;122,4971;121,0693
639;36,61;3,268;119,6415;119,6415
640;36,61;3,268;119,6415;119,6415
641;36,61;3,268;119,6415;121,0693
642;36,61;3,346;122,4971;121,0693
643;36,61;3,268;119,6415;120,3554
644;36,61;3,307;121,0693;119,6232
645;36,61;3,228;118,1771;119,6232
646;36,61;3,307;121,0693;121,7832
647;36,61;3,346;122,4971;122,4971
648;36,61;3,346;122,4971;122,4971
649;36,61;3,346;122,4971;122,4971
650;36,61;3,346;122,4971;121,7832
651;36,61;3,307;121,0693;121,7832
652;36,61;3,346;122,4971;123,2293
653;36,61;3,386;123,9615;122,5154
654;36,61;3,307;121,0693;121,7832
655;36,61;3,346;122,4971;122,4971
656;36,61;3,346;122,4971;122,4971
657;36,61;3,346;122,4971;122,4971
658;36,61;3,346;122,4971;122,4971
659;36,61;3,346;122,4971;121,7229
660;37,01;3,268;120,9487;120,2951
661;36,61;3,268;119,6415;121,0693
662;36,61;3,346;122,4971;122,4971
663;36,61;3,346;122,4971;121,0693
664;36,61;3,268;119,6415;119,6415
665;36,61;3,268;119,6415;120,3554
666;36,61;3,307;121,0693;121,7832
667;36,61;3,346;122,4971;123,2293
668;36,61;3,386;123,9615;123,2293
669;36,61;3,346;122,4971;121,0693
670;36,61;3,268;119,6415;121,0693
671;36,61;3,346;122,4971;123,2293
672;36,61;3,386;123,9615;123,2293
673;36,61;3,346;122,4971;122,4971
674;36,61;3,346;122,4971;121,7832
675;36,61;3,307;121,0693;121,7832
676;36,61;3,346;122,4971;122,4971
677;36,61;3,346;122,4971;121,1383
678;36,22;3,307;119,7795;121,8705
679;36,61;3,386;123,9615;123,2293
680;36,61;3,346;122,4971;123,1663
681;37,01;3,346;123,8355;123,8985
682;36,61;3,386;123,9615;123,9615
683;36,61;3,386;123,9615;123,2293
684;36,61;3,346;122,4971;122,4446
685;37,01;3,307;122,3921;122,4446
686;36,61;3,346;122,4971;122,4971
687;36,61;3,346;122,4971;122,569
688;36,22;3,386;122,6409;122,569
689;36,61;3,346;122,4971;121,7832
690;36,61;3,307;121,0693;121,7832
691;36,61;3,346;122,4971;122,4971
692;36,61;3,346;122,4971;121,8446
693;36,22;3,346;121,1921;121,8446
694;36,61;3,346;122,4971;121,0693
695;36,61;3,268;119,6415;121,0693
696;36,61;3,346;122,4971;122,4971
697;36,61;3,346;122,4971;123,2293
698;36,61;3,386;123,9615;123,2293
699;36,61;3,346;122,4971;122,4971
700;36,61;3,346;122,4971;123,1663
