T[ms];I[A];U[V];P[W]
118;38,19;3,11;118,7709
119;38,19;3,228;123,2773
120;37,8;3,228;122,0184
121;37,8;3,228;122,0184
122;38,19;3,228;123,2773
123;38,19;3,189;121,7879
124;38,19;3,228;123,2773
125;37,8;3,228;122,0184
126;37,8;3,228;122,0184
127;38,19;3,11;118,7709
128;38,19;3,268;124,8049
129;38,19;3,228;123,2773
130;37,8;3,268;123,5304
131;37,8;3,228;122,0184
132;37,8;3,228;122,0184
133;37,8;3,189;120,5442
134;37,8;3,228;122,0184
135;37,8;3,228;122,0184
136;37,4;3,228;120,7272
137;37,8;3,189;120,5442
138;38,19;3,189;121,7879
139;37,8;3,189;120,5442
140;37,8;3,268;123,5304
141;37,8;3,189;120,5442
142;37,8;3,189;120,5442
143;37,4;3,189;119,2686
144;37,8;3,228;122,0184
145;37,4;3,228;120,7272
146;37,8;3,228;122,0184
147;37,4;3,189;119,2686
148;38,19;3,11;118,7709
149;37,4;3,228;120,7272
150;37,4;3,228;120,7272
151;37,4;3,268;122,2232
152;37,4;3,228;120,7272
153;37,8;3,189;120,5442
154;37,8;3,228;122,0184
155;37,4;3,268;122,2232
156;37,4;3,228;120,7272
157;37,8;3,268;123,5304
158;37,8;3,268;123,5304
159;37,4;3,189;119,2686
160;37,4;3,228;120,7272
161;37,4;3,189;119,2686
162;37,4;3,189;119,2686
163;37,8;3,189;120,5442
164;37,8;3,15;119,07
165;37,4;3,228;120,7272
166;37,4;3,189;119,2686
167;37,4;3,228;120,7272
168;37,8;3,11;117,558
169;37,4;3,228;120,7272
170;37,01;3,268;120,9487
171;37,01;3,268;120,9487
172;37,01;3,228;119,4683
173;37,4;3,189;119,2686
174;37,4;3,228;120,7272
175;37,01;3,268;120,9487
176;37,01;3,268;120,9487
177;37,4;3,189;119,2686
178;37,4;3,268;122,2232
179;37,4;3,268;122,2232
180;37,4;3,268;122,2232
181;37,01;3,268;120,9487
182;37,4;3,228;120,7272
183;37,4;3,228;120,7272
184;37,4;3,228;120,7272
185;37,01;3,268;120,9487
186;37,01;3,268;120,9487
187;37,4;3,189;119,2686
188;37,4;3,268;122,2232
189;37,4;3,189;119,2686
190;37,01;3,268;120,9487
191;37,01;3,228;119,4683
192;37,4;3,228;120,7272
193;37,4;3,189;119,2686
194;37,01;3,228;119,4683
195;37,01;3,228;119,4683
196;37,01;3,268;120,9487
197;37,01;3,228;119,4683
198;37,4;3,189;119,2686
199;37,4;3,189;119,2686
200;37,01;3,268;120,9487
201;37,01;3,268;120,9487
202;37,01;3,268;120,9487
203;37,01;3,228;119,4683
204;37,01;3,228;119,4683
205;37,01;3,268;120,9487
206;37,01;3,268;120,9487
207;37,01;3,228;119,4683
208;37,4;3,228;120,7272
209;37,01;3,228;119,4683
210;37,01;3,268;120,9487
211;37,01;3,228;119,4683
212;37,01;3,189;118,0249
213;37,4;3,189;119,2686
214;37,4;3,189;119,2686
215;37,01;3,228;119,4683
216;36,61;3,228;118,1771
217;37,01;3,228;119,4683
218;37,4;3,189;119,2686
219;37,01;3,228;119,4683
220;37,01;3,268;120,9487
221;36,61;3,268;119,6415
222;37,01;3,228;119,4683
223;37,01;3,228;119,4683
224;37,01;3,268;120,9487
225;36,61;3,268;119,6415
226;37,01;3,268;120,9487
227;36,61;3,268;119,6415
228;37,01;3,228;119,4683
229;37,01;3,228;119,4683
230;36,61;3,268;119,6415
231;37,01;3,268;120,9487
232;37,01;3,268;120,9487
233;37,4;3,189;119,2686
234;37,01;3,228;119,4683
235;37,01;3,268;120,9487
236;37,01;3,268;120,9487
237;37,01;3,228;119,4683
238;37,01;3,189;118,0249
239;37,01;3,228;119,4683
240;36,61;3,268;119,6415
241;37,01;3,268;120,9487
242;37,01;3,268;120,9487
243;37,01;3,268;120,9487
244;37,01;3,228;119,4683
245;37,01;3,346;123,8355
246;37,01;3,228;119,4683
247;37,01;3,268;120,9487
248;37,01;3,189;118,0249
249;37,01;3,228;119,4683
250;36,61;3,228;118,1771
251;36,61;3,268;119,6415
252;36,61;3,268;119,6415
253;37,01;3,268;120,9487
254;37,01;3,228;119,4683
255;37,01;3,228;119,4683
256;36,61;3,346;122,4971
257;37,01;3,228;119,4683
258;37,01;3,228;119,4683
259;37,01;3,228;119,4683
260;36,61;3,268;119,6415
261;36,61;3,268;119,6415
262;37,01;3,268;120,9487
263;37,01;3,228;119,4683
264;37,01;3,189;118,0249
265;37,01;3,228;119,4683
266;36,61;3,228;118,1771
267;37,01;3,268;120,9487
268;37,01;3,189;118,0249
269;37,01;3,189;118,0249
270;36,61;3,228;118,1771
271;36,61;3,268;119,6415
272;37,01;3,228;119,4683
273;37,01;3,268;120,9487
274;37,01;3,268;120,9487
275;37,01;3,268;120,9487
276;36,61;3,346;122,4971
277;36,61;3,268;119,6415
278;37,01;3,268;120,9487
279;37,01;3,268;120,9487
280;36,61;3,268;119,6415
281;36,61;3,268;119,6415
282;37,01;3,346;123,8355
283;37,01;3,268;120,9487
284;37,01;3,268;120,9487
285;37,01;3,228;119,4683
286;36,61;3,228;118,1771
287;36,61;3,268;119,6415
288;37,01;3,268;120,9487
289;37,01;3,268;120,9487
290;36,61;3,268;119,6415
291;36,61;3,386;123,9615
292;36,61;3,268;119,6415
293;37,01;3,189;118,0249
294;37,01;3,228;119,4683
295;37,01;3,268;120,9487
296;36,61;3,189;116,7493
297;36,61;3,268;119,6415
298;36,61;3,15;115,3215
299;37,01;3,268;120,9487
300;36,61;3,268;119,6415
301;36,61;3,11;113,8571
302;36,61;3,268;119,6415
303;37,01;3,268;120,9487
304;37,01;3,228;119,4683
305;37,01;3,268;120,9487
306;36,61;3,268;119,6415
307;36,61;3,268;119,6415
308;37,01;3,268;120,9487
309;37,01;3,228;119,4683
310;36,61;3,268;119,6415
311;36,61;3,268;119,6415
312;36,61;3,268;119,6415
313;36,61;3,228;118,1771
314;37,01;3,228;119,4683
315;37,01;3,268;120,9487
316;36,61;3,268;119,6415
317;37,01;3,268;120,9487
318;37,01;3,268;120,9487
319;36,61;3,228;118,1771
320;37,01;3,268;120,9487
321;36,61;3,189;116,7493
322;36,61;3,268;119,6415
323;37,01;3,268;120,9487
324;37,01;3,268;120,9487
325;37,01;3,268;120,9487
326;36,61;3,268;119,6415
327;36,61;3,268;119,6415
328;37,01;3,268;120,9487
329;37,01;3,268;120,9487
330;36,61;3,268;119,6415
331;36,61;3,268;119,6415
332;36,61;3,268;119,6415
333;36,61;3,189;116,7493
334;37,01;3,268;120,9487
335;37,01;3,268;120,9487
336;36,61;3,268;119,6415
337;36,61;3,268;119,6415
338;37,01;3,228;119,4683
339;37,01;3,228;119,4683
340;37,01;3,268;120,9487
341;36,61;3,268;119,6415
342;36,61;3,268;119,6415
343;37,01;3,11;115,1011
344;37,01;3,228;119,4683
345;37,01;3,268;120,9487
346;36,61;3,268;119,6415
347;36,61;3,268;119,6415
348;37,01;3,228;119,4683
349;37,01;3,268;120,9487
350;37,01;3,268;120,9487
351;36,61;3,268;119,6415
352;36,61;3,268;119,6415
353;36,61;3,268;119,6415
354;36,61;3,228;118,1771
355;36,61;3,268;119,6415
356;36,61;3,268;119,6415
357;36,61;3,268;119,6415
358;37,01;3,268;120,9487
359;37,01;3,189;118,0249
360;36,61;3,268;119,6415
361;36,61;3,268;119,6415
362;37,01;3,268;120,9487
363;37,01;3,228;119,4683
364;37,01;3,268;120,9487
365;36,61;3,268;119,6415
366;36,61;3,268;119,6415
367;36,61;3,268;119,6415
368;36,61;3,268;119,6415
369;37,01;3,268;120,9487
370;36,61;3,268;119,6415
371;36,61;3,268;119,6415
372;36,61;3,268;119,6415
373;36,61;3,268;119,6415
374;37,01;3,268;120,9487
375;36,61;3,268;119,6415
376;36,61;3,268;119,6415
377;36,61;3,268;119,6415
378;36,61;3,268;119,6415
379;36,61;3,268;119,6415
380;36,61;3,268;119,6415
381;36,61;3,307;121,0693
382;36,61;3,268;119,6415
383;37,01;3,268;120,9487
384;37,01;3,268;120,9487
385;36,61;3,268;119,6415
386;36,61;3,268;119,6415
387;36,61;3,307;121,0693
388;36,61;3,268;119,6415
389;37,01;3,228;119,4683
390;37,01;3,268;120,9487
391;36,61;3,268;119,6415
392;36,61;3,268;119,6415
393;36,61;3,268;119,6415
394;37,01;3,268;120,9487
395;37,01;3,268;120,9487
396;36,61;3,268;119,6415
397;36,61;3,268;119,6415
398;36,61;3,268;119,6415
399;36,61;3,268;119,6415
400;37,01;3,268;120,9487
401;36,61;3,268;119,6415
402;36,61;3,307;121,0693
403;36,61;3,268;119,6415
404;37,01;3,268;120,9487
405;36,61;3,268;119,6415
406;36,61;3,268;119,6415
407;36,61;3,346;122,4971
408;36,61;3,268;119,6415
409;36,61;3,268;119,6415
410;36,61;3,268;119,6415
411;36,61;3,268;119,6415
412;36,61;3,268;119,6415
413;36,61;3,268;119,6415
414;36,61;3,189;116,7493
415;37,01;3,268;120,9487
416;36,61;3,346;122,4971
417;36,61;3,268;119,6415
418;36,61;3,268;119,6415
419;37,01;3,228;119,4683
420;36,61;3,268;119,6415
421;36,61;3,268;119,6415
422;36,61;3,346;122,4971
423;36,61;3,268;119,6415
424;37,01;3,268;120,9487
425;36,61;3,268;119,6415
426;36,61;3,268;119,6415
427;36,61;3,307;121,0693
428;36,61;3,268;119,6415
429;36,61;3,228;118,1771
430;36,61;3,268;119,6415
431;36,61;3,346;122,4971
432;36,61;3,268;119,6415
433;36,61;3,268;119,6415
434;36,61;3,346;122,4971
435;37,01;3,268;120,9487
436;36,61;3,307;121,0693
437;36,61;3,346;122,4971
438;36,61;3,268;119,6415
439;37,01;3,268;120,9487
440;36,61;3,268;119,6415
441;36,61;3,307;121,0693
442;36,61;3,346;122,4971
443;36,61;3,268;119,6415
444;37,01;3,268;120,9487
445;37,01;3,268;120,9487
446;36,61;3,307;121,0693
447;36,61;3,268;119,6415
448;36,61;3,268;119,6415
449;36,61;3,268;119,6415
450;36,61;3,268;119,6415
451;36,61;3,307;121,0693
452;36,61;3,268;119,6415
453;36,61;3,268;119,6415
454;36,61;3,268;119,6415
455;36,61;3,268;119,6415
456;36,61;3,346;122,4971
457;36,22;3,346;121,1921
458;36,61;3,268;119,6415
459;36,61;3,268;119,6415
460;37,01;3,268;120,9487
461;36,61;3,268;119,6415
462;36,61;3,268;119,6415
463;36,61;3,268;119,6415
464;36,61;3,189;116,7493
465;36,61;3,268;119,6415
466;36,61;3,228;118,1771
467;36,61;3,268;119,6415
468;36,61;3,268;119,6415
469;37,01;3,268;120,9487
470;36,61;3,268;119,6415
471;36,61;3,307;121,0693
472;36,61;3,346;122,4971
473;36,61;3,268;119,6415
474;36,61;3,307;121,0693
475;36,61;3,268;119,6415
476;36,61;3,346;122,4971
477;36,22;3,346;121,1921
478;36,61;3,307;121,0693
479;36,61;3,268;119,6415
480;36,61;3,268;119,6415
481;36,61;3,307;121,0693
482;36,61;3,268;119,6415
483;36,61;3,268;119,6415
484;37,01;3,268;120,9487
485;36,61;3,268;119,6415
486;36,61;3,307;121,0693
487;36,61;3,268;119,6415
488;36,61;3,307;121,0693
489;36,61;3,268;119,6415
490;36,61;3,268;119,6415
491;36,61;3,268;119,6415
492;36,61;3,386;123,9615
493;36,61;3,268;119,6415
494;37,01;3,268;120,9487
495;36,61;3,268;119,6415
496;36,61;3,307;121,0693
497;36,61;3,346;122,4971
498;36,61;3,307;121,0693
499;37,01;3,228;119,4683
500;36,61;3,268;119,6415
501;36,61;3,346;122,4971
502;36,61;3,346;122,4971
503;36,61;3,268;119,6415
504;36,61;3,268;119,6415
505;37,01;3,268;120,9487
506;36,61;3,307;121,0693
507;36,61;3,268;119,6415
508;36,61;3,268;119,6415
509;37,01;3,268;120,9487
510;37,01;3,268;120,9487
511;36,61;3,268;119,6415
512;36,61;3,386;123,9615
513;36,61;3,268;119,6415
514;36,61;3,268;119,6415
515;37,01;3,268;120,9487
516;36,61;3,307;121,0693
517;36,22;3,386;122,6409
518;36,61;3,268;119,6415
519;37,01;3,268;120,9487
520;37,01;3,268;120,9487
521;36,61;3,268;119,6415
522;36,61;3,268;119,6415
523;36,61;3,346;122,4971
524;37,01;3,268;120,9487
525;37,01;3,307;122,3921
526;36,61;3,346;122,4971
527;36,61;3,346;122,4971
528;36,61;3,307;121,0693
529;36,61;3,268;119,6415
530;36,61;3,307;121,0693
531;36,61;3,346;122,4971
532;36,22;3,307;119,7795
533;36,61;3,346;122,4971
534;37,01;3,268;120,9487
535;37,01;3,268;120,9487
536;36,61;3,307;121,0693
537;36,61;3,346;122,4971
538;36,61;3,307;121,0693
539;36,61;3,268;119,6415
540;37,01;3,268;120,9487
541;36,61;3,307;121,0693
542;36,61;3,307;121,0693
543;36,61;3,307;121,0693
544;36,61;3,268;119,6415
545;36,61;3,268;119,6415
546;36,61;3,268;119,6415
547;36,61;3,346;122,4971
548;36,61;3,307;121,0693
549;36,61;3,307;121,0693
550;37,01;3,268;120,9487
551;36,61;3,307;121,0693
552;36,61;3,346;122,4971
553;36,61;3,346;122,4971
554;36,61;3,268;119,6415
555;36,61;3,268;119,6415
556;36,61;3,307;121,0693
557;36,61;3,346;122,4971
558;36,61;3,346;122,4971
559;36,61;3,268;119,6415
560;36,61;3,268;119,6415
561;36,61;3,307;121,0693
562;36,61;3,307;121,0693
563;36,61;3,307;121,0693
564;36,61;3,268;119,6415
565;36,61;3,307;121,0693
566;36,61;3,268;119,6415
567;36,61;3,268;119,6415
568;36,61;3,346;122,4971
569;36,61;3,346;122,4971
570;37,01;3,268;120,9487
571;36,61;3,307;121,0693
572;36,61;3,346;122,4971
573;36,22;3,346;121,1921
574;36,61;3,268;119,6415
575;36,61;3,346;122,4971
576;36,61;3,346;122,4971
577;36,61;3,346;122,4971
578;36,61;3,346;122,4971
579;36,61;3,346;122,4971
580;36,61;3,346;122,4971
581;36,61;3,307;121,0693
582;36,61;3,346;122,4971
583;36,61;3,346;122,4971
584;36,61;3,307;121,0693
585;36,61;3,268;119,6415
586;36,61;3,346;122,4971
587;36,61;3,346;122,4971
588;36,22;3,268;118,367
589;36,61;3,268;119,6415
590;36,61;3,268;119,6415
591;36,61;3,307;121,0693
592;36,61;3,346;122,4971
593;36,61;3,307;121,0693
594;36,61;3,346;122,4971
595;37,01;3,346;123,8355
596;36,61;3,307;121,0693
597;36,61;3,346;122,4971
598;36,61;3,346;122,4971
599;36,61;3,307;121,0693
600;36,61;3,268;119,6415
601;36,61;3,346;122,4971
602;36,61;3,346;122,4971
603;36,22;3,346;121,1921
604;36,61;3,346;122,4971
605;36,61;3,268;119,6415
606;36,61;3,307;121,0693
607;36,61;3,346;122,4971
608;36,61;3,346;122,4971
609;36,61;3,307;121,0693
610;37,01;3,268;120,9487
611;36,61;3,307;121,0693
612;36,61;3,307;121,0693
613;36,61;3,268;119,6415
614;36,61;3,307;121,0693
615;36,61;3,307;121,0693
616;36,61;3,268;119,6415
617;36,61;3,346;122,4971
618;36,61;3,346;122,4971
619;36,61;3,307;121,0693
620;36,61;3,307;121,0693
621;36,61;3,268;119,6415
622;36,61;3,346;122,4971
623;36,61;3,346;122,4971
624;36,61;3,346;122,4971
625;37,01;3,268;120,9487
626;36,61;3,346;122,4971
627;36,61;3,386;123,9615
628;36,61;3,346;122,4971
629;36,61;3,346;122,4971
630;36,61;3,346;122,4971
631;36,61;3,307;121,0693
632;36,61;3,346;122,4971
633;36,61;3,425;125,3892
634;36,61;3,307;121,0693
635;36,61;3,268;119,6415
636;37,01;3,307;122,3921
637;36,61;3,346;122,4971
638;36,61;3,346;122,4971
639;36,61;3,268;119,6415
640;36,61;3,268;119,6415
641;36,61;3,268;119,6415
642;36,61;3,346;122,4971
643;36,61;3,268;119,6415
644;36,61;3,307;121,0693
645;36,61;3,228;118,1771
646;36,61;3,307;121,0693
647;36,61;3,346;122,4971
648;36,61;3,346;122,4971
649;36,61;3,346;122,4971
650;36,61;3,346;122,4971
651;36,61;3,307;121,0693
652;36,61;3,346;122,4971
653;36,61;3,386;123,9615
654;36,61;3,307;121,0693
655;36,61;3,346;122,4971
656;36,61;3,346;122,4971
657;36,61;3,346;122,4971
658;36,61;3,346;122,4971
659;36,61;3,346;122,4971
660;37,01;3,268;120,9487
661;36,61;3,268;119,6415
662;36,61;3,346;122,4971
663;36,61;3,346;122,4971
664;36,61;3,268;119,6415
665;36,61;3,268;119,6415
666;36,61;3,307;121,0693
667;36,61;3,346;122,4971
668;36,61;3,386;123,9615
669;36,61;3,346;122,4971
670;36,61;3,268;119,6415
671;36,61;3,346;122,4971
672;36,61;3,386;123,9615
673;36,61;3,346;122,4971
674;36,61;3,346;122,4971
675;36,61;3,307;121,0693
676;36,61;3,346;122,4971
677;36,61;3,346;122,4971
678;36,22;3,307;119,7795
679;36,61;3,386;123,9615
680;36,61;3,346;122,4971
681;37,01;3,346;123,8355
682;36,61;3,386;123,9615
683;36,61;3,386;123,9615
684;36,61;3,346;122,4971
685;37,01;3,307;122,3921
686;36,61;3,346;122,4971
687;36,61;3,346;122,4971
688;36,22;3,386;122,6409
689;36,61;3,346;122,4971
690;36,61;3,307;121,0693
691;36,61;3,346;122,4971
692;36,61;3,346;122,4971
693;36,22;3,346;121,1921
694;36,61;3,346;122,4971
695;36,61;3,268;119,6415
696;36,61;3,346;122,4971
697;36,61;3,346;122,4971
698;36,61;3,386;123,9615
699;36,61;3,346;122,4971
700;36,61;3,346;122,4971
701;37,01;3,346;123,8355
702;36,61;3,346;122,4971
703;36,61;3,346;122,4971
704;36,61;3,346;122,4971
705;36,61;3,307;121,0693
706;37,01;3,346;123,8355
707;36,61;3,346;122,4971
708;36,22;3,386;122,6409
709;36,61;3,346;122,4971
710;36,61;3,346;122,4971
711;37,01;3,307;122,3921
712;36,61;3,346;122,4971
713;36,61;3,268;119,6415
714;36,61;3,307;121,0693
715;36,61;3,346;122,4971
716;37,01;3,346;123,8355
717;36,61;3,346;122,4971
718;36,61;3,425;125,3892
719;36,61;3,346;122,4971
720;36,61;3,346;122,4971
721;36,61;3,346;122,4971
722;36,61;3,386;123,9615
723;36,61;3,268;119,6415
724;36,61;3,346;122,4971
725;36,61;3,386;123,9615
726;36,61;3,307;121,0693
727;36,61;3,386;123,9615
728;36,61;3,228;118,1771
729;36,61;3,386;123,9615
730;36,61;3,346;122,4971
731;36,61;3,346;122,4971
732;36,61;3,386;123,9615
733;36,61;3,425;125,3892
734;36,61;3,346;122,4971
735;36,61;3,346;122,4971
736;36,61;3,346;122,4971
737;36,61;3,346;122,4971
738;36,61;3,386;123,9615
739;36,61;3,346;122,4971
740;36,61;3,346;122,4971
741;36,61;3,268;119,6415
742;36,61;3,346;122,4971
743;36,61;3,346;122,4971
744;36,61;3,386;123,9615
745;36,61;3,268;119,6415
746;36,61;3,346;122,4971
747;36,61;3,386;123,9615
748;36,61;3,425;125,3892
749;36,61;3,386;123,9615
750;36,61;3,386;123,9615
751;36,61;3,346;122,4971
752;36,61;3,386;123,9615
753;36,61;3,346;122,4971
754;36,61;3,386;123,9615
755;36,61;3,346;122,4971
756;37,01;3,346;123,8355
757;36,61;3,346;122,4971
758;36,61;3,346;122,4971
759;36,61;3,346;122,4971
760;36,61;3,268;119,6415
761;36,61;3,307;121,0693
762;36,61;3,346;122,4971
763;36,61;3,346;122,4971
764;36,61;3,346;122,4971
765;36,61;3,346;122,4971
766;36,61;3,346;122,4971
767;36,61;3,346;122,4971
768;36,61;3,386;123,9615
769;36,61;3,346;122,4971
770;36,61;3,346;122,4971
771;37,01;3,346;123,8355
772;36,61;3,386;123,9615
773;36,22;3,386;122,6409
774;36,22;3,386;122,6409
775;36,61;3,346;122,4971
776;37,01;3,346;123,8355
777;36,61;3,386;123,9615
778;36,61;3,425;125,3892
779;36,61;3,386;123,9615
780;36,61;3,346;122,4971
781;36,61;3,346;122,4971
782;36,61;3,346;122,4971
783;36,61;3,386;123,9615
784;36,61;3,386;123,9615
785;36,61;3,346;122,4971
786;36,61;3,386;123,9615
787;36,61;3,346;122,4971
788;36,61;3,346;122,4971
789;36,61;3,386;123,9615
790;36,61;3,346;122,4971
791;37,01;3,386;125,3159
792;36,61;3,346;122,4971
793;36,61;3,386;123,9615
794;36,61;3,386;123,9615
795;36,61;3,346;122,4971
796;36,61;3,386;123,9615
797;36,61;3,346;122,4971
798;36,61;3,386;123,9615
799;36,22;3,386;122,6409
800;36,61;3,346;122,4971
801;36,61;3,386;123,9615
802;36,61;3,346;122,4971
803;36,61;3,346;122,4971
804;36,61;3,386;123,9615
805;36,61;3,386;123,9615
806;37,01;3,346;123,8355
807;36,61;3,346;122,4971
808;36,61;3,386;123,9615
809;36,61;3,386;123,9615
810;36,61;3,346;122,4971
811;37,01;3,268;120,9487
812;36,61;3,346;122,4971
813;36,61;3,346;122,4971
814;36,61;3,346;122,4971
815;36,61;3,346;122,4971
816;36,61;3,268;119,6415
817;36,61;3,346;122,4971
818;36,61;3,386;123,9615
819;36,61;3,346;122,4971
820;36,61;3,386;123,9615
821;36,61;3,346;122,4971
822;36,61;3,386;123,9615
823;36,61;3,386;123,9615
824;36,61;3,386;123,9615
825;36,61;3,386;123,9615
826;36,61;3,268;119,6415
827;36,61;3,386;123,9615
828;36,61;3,386;123,9615
829;36,22;3,386;122,6409
830;36,61;3,386;123,9615
831;36,61;3,346;122,4971
832;36,61;3,346;122,4971
833;36,61;3,386;123,9615
834;36,61;3,386;123,9615
835;36,61;3,346;122,4971
836;36,61;3,346;122,4971
837;36,61;3,386;123,9615
838;36,61;3,386;123,9615
839;36,61;3,386;123,9615
840;36,61;3,346;122,4971
841;36,61;3,346;122,4971
842;36,61;3,346;122,4971
843;36,61;3,386;123,9615
844;36,61;3,425;125,3892
845;36,61;3,346;122,4971
846;36,61;3,346;122,4971
847;36,61;3,386;123,9615
848;36,61;3,425;125,3892
849;36,61;3,386;123,9615
850;36,61;3,386;123,9615
851;36,61;3,346;122,4971
852;36,61;3,386;123,9615
853;36,61;3,386;123,9615
854;36,61;3,386;123,9615
855;36,61;3,386;123,9615
856;37,01;3,307;122,3921
857;37,01;3,386;125,3159
858;36,61;3,386;123,9615
859;36,61;3,425;125,3892
860;36,61;3,346;122,4971
861;36,61;3,268;119,6415
862;36,61;3,346;122,4971
863;36,61;3,386;123,9615
864;36,61;3,386;123,9615
865;36,61;3,346;122,4971
866;36,61;3,346;122,4971
867;36,61;3,346;122,4971
868;36,61;3,386;123,9615
869;36,22;3,346;121,1921
870;36,61;3,386;123,9615
871;36,61;3,346;122,4971
872;36,61;3,386;123,9615
873;36,61;3,386;123,9615
874;36,61;3,425;125,3892
875;36,61;3,386;123,9615
876;36,61;3,386;123,9615
877;36,61;3,386;123,9615
878;36,61;3,425;125,3892
879;36,61;3,425;125,3892
880;36,61;3,386;123,9615
881;36,61;3,346;122,4971
882;36,61;3,386;123,9615
883;36,61;3,386;123,9615
884;36,61;3,346;122,4971
885;36,61;3,386;123,9615
886;37,01;3,307;122,3921
887;36,61;3,386;123,9615
888;36,61;3,386;123,9615
889;36,61;3,425;125,3892
890;36,61;3,386;123,9615
891;37,01;3,346;123,8355
892;36,61;3,346;122,4971
893;36,61;3,386;123,9615
894;36,22;3,425;124,0535
895;36,61;3,386;123,9615
896;36,61;3,346;122,4971
897;36,61;3,346;122,4971
898;36,61;3,346;122,4971
899;36,61;3,386;123,9615
900;36,61;3,386;123,9615
901;36,61;3,386;123,9615
902;36,61;3,386;123,9615
903;36,61;3,386;123,9615
904;36,61;3,346;122,4971
905;36,61;3,386;123,9615
906;36,61;3,346;122,4971
907;36,61;3,346;122,4971
908;36,61;3,386;123,9615
909;36,61;3,425;125,3892
910;36,61;3,386;123,9615
911;36,61;3,346;122,4971
912;37,01;3,346;123,8355
913;36,61;3,386;123,9615
914;36,61;3,307;121,0693
915;36,61;3,386;123,9615
916;36,61;3,346;122,4971
917;37,01;3,346;123,8355
918;36,61;3,386;123,9615
919;36,61;3,268;119,6415
920;36,61;3,386;123,9615
921;36,61;3,346;122,4971
922;36,61;3,386;123,9615
923;36,61;3,425;125,3892
924;36,22;3,346;121,1921
925;36,61;3,386;123,9615
926;36,61;3,386;123,9615
927;36,61;3,386;123,9615
928;36,61;3,425;125,3892
929;36,61;3,268;119,6415
930;36,61;3,386;123,9615
931;36,61;3,386;123,9615
